SONG_NAME,SONG_SINGER,DURATION,SONG_YEAR_RELEASE,SONG_LINK,SONG_GENRES
Ao no kanata,Konomi Suzuki,300,2019,https://open.spotify.com/track/4l13rdu65rD7uAjwsCz5L5 ,Anime
Kirameki Rider,hololive IDOL PROJECT,288,2020,https://open.spotify.com/track/3VfT7krKt0gafbcDEPYD6x ,Japanese vtuber
廻廻奇譚,Eve,219,2020,https://open.spotify.com/track/2gSkvrwfCXCgqeugzezn97 ,Anime
リトルソルジャー,田所あずさ,233,2019,https://open.spotify.com/track/4ESR8uG70TFcWKqtePEJpo ,Anime
Daisy,STEREO DIVE FOUNDATION,274,2020,https://open.spotify.com/track/5QGu0Yr6B8oHjlNNG9ncRG ,Anime
Another colony,TRUE,251,2018,https://open.spotify.com/track/3pJIBjrTwknFm7orJJM3YH ,Anime
メグルモノ,寺島拓篤,283,2020,https://open.spotify.com/track/3uRbhqoFjm6BHRlZInENGz ,Anime
Black Rover,Vickeblanka,209,2018,https://open.spotify.com/track/0OGw7V8wAI6OsZIQ12JkTP ,Anime
Black Catcher,Vickeblanka,195,2020,https://open.spotify.com/track/5RXmLhscstsdvWPN0XtUa0 ,Anime
色彩,Maaya Sakamoto,273,2020,https://open.spotify.com/track/30nGfG2lPXPPaXoMJgSlMF ,Anime
星が降るユメ,Eir Aoi,248,2019,https://open.spotify.com/track/5qSmsjitSxDvcT2MCej5jX ,Anime
Brand-new World,西沢幸奏,249,2015,https://open.spotify.com/track/1qQCA2JKusLretqyTtLmsY ,Anime
The Asterisk War,西沢幸奏,213,2017,https://open.spotify.com/track/4Zl5KzuG05nYPIWUhA7bLl ,Anime
Waiting for the rain,Maaya Sakamoto,264,2015,https://open.spotify.com/track/2iC18gXn4nDZ3JyixvmOFE ,Anime
Scarborough Fair,Celtic Woman,192,2007,https://open.spotify.com/track/1U1NkDoPpCSEX1T6ZMWX04 ,Celtic
gravityWall,SawanoHiroyuki[nZk]:Tielle&Gemie,226,2017,https://open.spotify.com/track/5vM7uTVvj65yNYKwnuERFo ,
DEAREST DROP,田所あずさ,305,2017,https://open.spotify.com/track/3yGMNQFdIflEty0tdKlEdd ,Anime
adrenaline!!!,TrySail,274,2017,https://open.spotify.com/track/4KYAbvr17eE9drfUqGhmvo ,Anime
プライド革命,CHiCO with HoneyWorks,233,2015,https://open.spotify.com/track/7uD3cE6aiSFKdJO30k2vbZ ,Anime
アイのシナリオ,CHiCO with HoneyWorks,258,2015,https://open.spotify.com/track/3EfNDAXf9D16g7fv2aRkrs ,Anime
Mirror,Rei Yasuda,236,2014,https://open.spotify.com/track/4sJS8j1bjvTFXJfr6PCROs ,Anime
HYDRA (From "Overlord II"),Akano,90,2018,https://open.spotify.com/track/6ALu7SjRltjDjGRdw8RycH ,Otacore
L.L.L.,MYTH & ROID,216,2017,https://open.spotify.com/track/77tRs6Jx8grzUdJYwEbvdy ,Anime
VORACITY (オーバーロードIII),平間美賀,230,2019,https://open.spotify.com/track/7gcJLV4hPDmjiEI0UynVSS ,Seinen
リテラチュア,上田麗奈,240,2020,https://open.spotify.com/track/1Oc8AYDtd0Hcpz8Ijl4JaT ,Anime
Koino Uta,Yunomi,209,2020,https://open.spotify.com/track/15St0qWPnH4xKflV39vk28 ,Denpa-kei
ワガママMIRROR HEART,大橋彩香,274,2017,https://open.spotify.com/track/6WPjgNthSvN9YjkTnssjMe ,Anime
graphite/diamond,May'n,255,2019,https://open.spotify.com/track/7dHtm6v0oCuh9goDtWQiyP ,Anime
Overfly,Luna Haruna,267,2013,https://open.spotify.com/track/0tw4GLi5c36owjRA26mJf2 ,Anime
FLY HIGH!!,BURNOUT SYNDROMES,244,2016,https://open.spotify.com/track/1y3Ml1b1c4v3ZdpbWLKD1F ,Anime
あの夢をなぞって,YOASOBI,242,2020,https://open.spotify.com/track/4BE1OloRc9xwjyqA4wFFuN ,J-pop
Truth.,TrySail,253,2019,https://open.spotify.com/track/7LzHl23BA5QRgTopsv1eNm ,Anime
PRIMALove,ClariS,259,2020,https://open.spotify.com/track/4NGUT4p5CTbmMXiNUAlPpa ,Anime
Tell me,milet,220,2020,https://open.spotify.com/track/64zkEyt6RvUkonx6bBPfJ5 ,J-pop
Prover,milet,238,2020,https://open.spotify.com/track/4yNkKzy9UEyEq4KCc3jskc ,J-pop
Kuchizuke Diamond,WEAVER,236,2016,https://open.spotify.com/track/5fqtDZNe7luPDPYZvfcKWW ,Anime rock
Best Friend,Kana Nishino,319,2010,https://open.spotify.com/track/37J6yKJ18QJdHR2RTRE55O ,J-idol
あたしが隣にいるうちに,藤川千愛,355,2019,https://open.spotify.com/track/2OIDODhCwRMp217BXRgkRM ,Anime
きみの名前,藤川千愛,301,2019,https://open.spotify.com/track/5BbCTsFpRotDXwfdvnw6DI ,Anime
Kimi Ga Yume Wo Tsuretekita,Disco Da Gama,296,2012,https://open.spotify.com/track/3hy0UBuvGHCcgCx6PzDC8N ,
Asu No Yozora Shoukaihan,Nameless,176,2015,https://open.spotify.com/track/1JvPGeXMR287zUaMBqC3ZZ ,Kenyan pop
DAYS of DASH,ストロボサイダー,137,2015,https://open.spotify.com/track/2gyuwEV2wC8DVRlrn37zxB ,
君色シグナル,Luna Haruna,282,2015,https://open.spotify.com/track/2QNFOB3BVy1Lz2CXdzMfkN ,Anime
Howling,ASCA,249,2020,https://open.spotify.com/track/2twCEq28Qw7FcsznfX4HNv ,Anime
インドア系ならトラックメイカー,Yunomi,195,2017,https://open.spotify.com/track/3SAgoXsKEGMlIGNtOvs0vV ,Denpa-kei
東京シュノーケル,Yunomi,168,2017,https://open.spotify.com/track/4IDktPgl61QHXnOscz9Psd ,Denpa-kei
ジェリーフィッシュ (feat. ローラーガール),Yunomi,235,2018,https://open.spotify.com/track/6kIivltIxJscvk682sTXoV ,Denpa-kei
Zenzenzense - movie ver.,RADWIMPS,285,2016,https://open.spotify.com/track/2DLrgv7HhJanCuD8L9uJLR ,J-pop
夜に駆ける,YOASOBI,261,2019,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js ,J-pop
unravel,TK from Ling tosite sigure,238,2014,https://open.spotify.com/track/0GLyqTysS0DFoeKjURtB8s ,J-poprock
unlasting,LiSA,297,2019,https://open.spotify.com/track/28AK7PdbUPxsmkgmiokTvp ,Anime
The Everlasting Guilty Crown,EGOIST,325,2011,https://open.spotify.com/track/76jRSSkd4pLwUflgwSeuB0 ,Anime
STYX HELIX,MYTH & ROID,289,2017,https://open.spotify.com/track/376H9fw1l6spwIfiNSDBmJ ,Anime
STEP,ClariS,256,2010,https://open.spotify.com/track/2zcexjzFwNj6uomgoTcGhM ,Anime
